"run_id","run_seed","regime","total_manuscripts_spawned","majority_text","pct_sampled_witnesses_with_pa","pct_majority_disagree_autograph","pct_all_witnesses_with_pa","ideal_majority_text","pct_ideal_majority_disagree_autograph"
0,4005256945,"insertion",277085,"0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",0.008,0.0,0.010108847858411167,"0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",0.0
0,4005256945,"omission",277085,"1111111111111111111111111111115111111111111111111111111111111111111111111111111111111111111111111111",1.0,0.01,0.9999963909861269,"1111111111111111111111111111115111111111111111111111111111111111111111111111111111111111111111111111",0.01
1,744465803,"insertion",276276,"0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",0.008666666666666666,0.0,0.0068048140439779204,"0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",0.0
1,744465803,"omission",276276,"1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111",0.994,0.0,0.9939878744005067,"1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111",0.0
2,2614164512,"insertion",277022,"0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",0.0,0.0,3.6098346334754403e-06,"0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",0.0
2,2614164512,"omission",277022,"1111111111111111111111111111011111111111111111111111111111111111111111111111111111111111111111111111",0.9986666666666667,0.01,0.995657368935929,"1111111111111111111111111111011111111111111111111111111111111111111111111111111111111111111111111111",0.01
3,1366509572,"insertion",276922,"0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",0.0026666666666666666,0.0,0.0024627962487496434,"0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",0.0
3,1366509572,"omission",276922,"1111111111111111111111111111111111111111111111111111111111111111111121111111111111111111111111111111",1.0,0.01,0.9999927777236107,"1111111111111111111111111111111111111111111111111111111111111111111121111111111111111111111111111111",0.01
4,280850711,"insertion",277526,"0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",0.0,0.0,3.6032789838753264e-06,"0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",0.0
4,280850711,"omission",277526,"1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111",1.0,0.0,0.9999963967210161,"1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111",0.0
5,1372343271,"insertion",277261,"0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",0.0,0.0,1.0820168794633196e-05,"0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",0.0
5,1372343271,"omission",277261,"1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111",0.995,0.0,0.9922996465411527,"1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111",0.0
6,4063298237,"insertion",277337,"0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",0.039,0.0,0.031020134421784407,"0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",0.0
6,4063298237,"omission",277337,"1111111111111011111111111111111111111111111111111111111111111111114111111111111111111111111111111111",0.9973333333333333,0.02,0.9964339285199181,"1111111111111011111111111111111111111111111111111111111111111111114111111111111111111111111111111111",0.02
7,1827180648,"insertion",277116,"0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",0.0,0.0,3.6086101438031144e-06,"0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",0.0
7,1827180648,"omission",277116,"1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111114111",1.0,0.01,0.9999963913898562,"1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111114111",0.01
8,607742339,"insertion",276953,"0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",0.0,0.0,3.610733990005488e-06,"0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",0.0
8,607742339,"omission",276953,"1211111111111121111111111111111111111111111111111111111111111111511111111111111111111111111111111111",0.999,0.03,0.9968767150986453,"1211111111111121111111111111111111111111111111111111111111111111511111111111111111111111111111111111",0.03
9,2831298846,"insertion",276831,"0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",0.007,0.0,0.005963948993967417,"0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",0.0
9,2831298846,"omission",276831,"1111111111111111111111111111111111111111112111111111111111111111111111111111111111111111111111111111",1.0,0.01,0.9999891630242387,"1111111111111111111111111111111111111111112111111111111111111111111111111111111111111111111111111111",0.01
10,1678935801,"insertion",277159,"0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",0.0023333333333333335,0.0,0.0036766032371427127,"0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",0.0
10,1678935801,"omission",277159,"1111111211111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111",1.0,0.01,0.9999927838994365,"1111111211111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111",0.01
11,1363348724,"insertion",277243,"0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",0.0,0.0,3.6069570988522663e-06,"0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",0.0
11,1363348724,"omission",277243,"1111111111111111111111111111111111111111111111111111111111111121111111111111111111111111111111111111",0.9963333333333333,0.01,0.9962415507029959,"1111111111111111111111111111111111111111111111111111111111111121111111111111111111111111111111111111",0.01
12,3782361488,"insertion",276632,"0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",0.007666666666666666,0.0,0.00553083349299247,"0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",0.0
12,3782361488,"omission",276632,"1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111",1.0,0.0,0.9990384302554667,"1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111",0.0
13,111218175,"insertion",276896,"0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",0.0023333333333333335,0.0,0.0017190631827949223,"0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",0.0
